조도(Lux),각도(°),온도(°C)
68,90,24.2
68,90,24.2
67,90,24.2
66,90,24.2
65,90,24.2
63,90,24.2
63,90,24.2
65,90,24.2
66,90,24.2
67,90,24.2
68,90,24.2
68,90,24.2
69,90,24.2
70,90,24.2
70,90,24.2
70,90,24.2
70,90,24.2
68,90,24.2
65,90,24.2
69,90,24.2
70,90,24.2
68,90,24.2
64,90,24.2
66,90,24.2
70,90,24.2
69,90,24.2
67,90,24.2
70,90,24.2
66,90,24.2
64,90,24.2
69,90,24.2
70,90,24.2
68,90,24.2
59,90,24.2
65,90,24.2
62,90,24.2
61,90,24.2
66,90,24.2
68,90,24.2
69,90,24.2
69,90,24.2
70,90,24.2
69,90,24.2
68,90,24.2
64,90,24.2
64,90,24.2
68,90,24.2
54,90,24.2
69,90,24.2
54,90,24.2
68,90,24.2
59,90,24.2
65,90,24.2
64,90,24.2
58,90,24.2
68,90,24.2
53,90,24.2
69,90,24.2
57,90,24.2
66,90,24.2
62,90,24.2
60,90,24.2
67,90,24.2
54,90,24.2
70,90,24.2
65,80.5,23.8
60,80,23.8
67,80.5,23.8
57,80.67,23.8
69,80.5,23.8
55,80.5,23.8
70,80.33,23.8
55,80.16,23.8
70,80.33,23.8
58,80.67,23.8
68,80.84,23.8
62,80.84,23.8
64,80.5,23.8
66,80.84,23.8
57,80.67,23.8
70,80.5,23.8
55,80.67,23.8
69,80.5,23.8
62,80.33,23.8
61,80.84,23.8
69,80.5,23.8
55,80.5,23.8
62,60.3,23.4
63,60.87,23.4
63,60.47,23.4
64,60.24,23.4
64,60.41,23.4
64,60.58,23.4
64,60.41,23.4
62,60.47,23.4
62,60.64,23.4
65,60.87,23.4
61,60.53,23.4
60,60.3,23.4
66,60.19,23.4
59,60.02,23.4
58,59.8,23.4
68,59.74,23.4
57,59.19,23.4
56,60.3,23.4
56,60.13,23.4
56,40.14,23
60,39.63,23
64,39.77,23.3
64,39.59,23.3
58,39.77,23.4
54,39.92,23.4
55,40.54,23.4
58,40.14,23.4
61,40.47,23.4
63,40.39,23.4
63,40.03,23.4
61,40.1,23.4
64,39.84,23.4
60,39.92,23.4
58,39.95,23.4
65,39.92,23.4
57,39.99,23.4
56,40.25,23.4
56,39.66,23.4
55,39.84,23.4
55,39.81,23.4
55,39.88,23.4
56,39.59,23.4
66,39.63,23.4
56,39.84,23.4
57,40.8,23.4
66,40.87,23.4
58,40.87,23.4
65,40.65,23.4
58,40.69,23.4
65,40.83,23.4
59,40.54,23.4
52,20.27,22.2
64,20.38,22.2
54,20.8,22.2
62,20.44,22.2
56,20.18,22.2
59,20.24,22.2
59,20.65,22.2
57,20.38,22.2
61,20.53,22.2
53,20.8,22.2
63,20.53,22.2
51,20.21,22.2
64,20.27,22.2
49,20.38,22.2
65,20.41,22.2
51,20.21,22.2
64,20.33,22.2
54,20.44,22.2
61,20.36,22.2
57,20.33,22.2
57,20.06,22.2
60,20.3,22.2
53,20.27,22.2
63,20.06,22.2
49,20.18,22.2
65,19.97,22.2
51,20.09,22.2
63,20.33,22.2
56,20.33,22.2
57,20.15,22.2
61,20.15,22.2
50,20.3,22.2
65,20.15,22.2
50,20.09,22.2
63,20.3,22.2
56,20.18,22.2
57,20.21,22.2
61,20.27,22.2
51,20.24,22.2
64,20.18,22.2
49,20.27,22.2
64,20.36,22.2
54,20.38,22.3
59,20.21,22.3
59,20.18,22.6
52,20.33,22.6
64,20.3,22.6
49,20.27,22.6
64,20.33,22.6
55,20.36,22.6
58,20.18,22.6
60,20.18,22.6
51,20.3,22.6
64,20.18,22.6
49,20.24,22.6
64,20.27,22.6
52,20.3,22.6
62,20.21,22.6
55,20.41,22.6
59,20.3,22.6
57,20.36,22.6
57,20.47,22.6
60,20.41,22.6
53,20.36,22.6
62,20.44,22.6
50,20.44,22.6
64,20.56,22.6
49,20.33,22.6
65,20.3,22.6
50,20.36,22.6
64,20.18,22.6
